cryid;idlay;idcol;xpos;ypos;
0;29;9;-188.6;377.3;
1;29;10;-154.4;377.3;
2;29;11;-120.1;377.3;
3;29;12;120.1;377.3;
4;29;13;154.4;377.3;
5;29;14;188.6;377.3;
6;28;10;205.8;343.0;
7;8;10;205.8;-343.0;
8;7;14;188.6;-377.3;
9;7;13;154.4;-377.3;
10;7;12;120.1;-377.3;
11;7;11;-120.1;-377.3;
12;7;10;-154.4;-377.3;
13;7;9;-188.6;-377.3;
14;8;9;-205.8;-343.0;
15;28;9;-205.8;343.0;
16;30;8;-205.8;411.6;
17;30;9;-171.5;411.6;
18;30;10;-137.2;411.6;
19;30;11;-102.9;411.6;
20;30;12;-68.6;411.6;
21;30;13;-34.3;411.6;
22;30;14;0.0;411.6;
23;30;15;34.3;411.6;
24;30;16;68.6;411.6;
25;30;17;102.9;411.6;
26;30;18;137.2;411.6;
27;30;19;171.5;411.6;
28;30;20;205.8;411.6;
29;29;15;222.9;377.3;
30;28;11;240.1;343.0;
31;27;9;257.2;308.7;
32;19;8;394.5;34.3;
33;18;7;411.6;0.0;
34;17;8;394.5;-34.3;
35;9;9;257.2;-308.7;
36;8;11;240.1;-343.0;
37;7;15;222.9;-377.3;
38;6;20;205.8;-411.6;
39;6;19;171.5;-411.6;
40;6;18;137.2;-411.6;
41;6;17;102.9;-411.6;
42;6;16;68.6;-411.6;
43;6;15;34.3;-411.6;
44;6;14;0.0;-411.6;
45;6;13;-34.3;-411.6;
46;6;12;-68.6;-411.6;
47;6;11;-102.9;-411.6;
48;6;10;-137.2;-411.6;
49;6;9;-171.5;-411.6;
50;6;8;-205.8;-411.6;
51;7;8;-222.9;-377.3;
52;8;8;-240.1;-343.0;
53;9;8;-257.2;-308.7;
54;17;7;-394.5;-34.3;
55;18;6;-411.6;0.0;
56;19;7;-394.5;34.3;
57;27;8;-257.2;308.7;
58;28;8;-240.1;343.0;
59;29;8;-222.9;377.3;
60;31;6;-222.9;445.9;
61;31;7;-188.6;445.9;
62;31;8;-154.4;445.9;
63;31;9;-120.1;445.9;
64;31;10;-85.8;445.9;
65;31;11;-51.5;445.9;
66;31;12;-17.1;445.9;
67;31;13;17.1;445.9;
68;31;14;51.5;445.9;
69;31;15;85.8;445.9;
70;31;16;120.1;445.9;
71;31;17;154.4;445.9;
72;31;18;188.6;445.9;
73;31;19;222.9;445.9;
74;30;21;240.1;411.6;
75;29;16;257.2;377.3;
76;28;12;274.4;343.0;
77;27;10;291.5;308.7;
78;26;8;308.7;274.4;
79;25;8;325.9;240.1;
80;24;8;343.0;205.8;
81;23;8;360.1;171.5;
82;22;8;377.3;137.2;
83;21;7;394.5;102.9;
84;20;7;411.6;68.6;
85;19;9;428.8;34.3;
86;18;8;445.9;0.0;
87;17;9;428.8;-34.3;
88;16;7;411.6;-68.6;
89;15;7;394.5;-102.9;
90;14;8;377.3;-137.2;
91;13;8;360.1;-171.5;
92;12;8;343.0;-205.8;
93;11;8;325.9;-240.1;
94;10;8;308.7;-274.4;
95;9;10;291.5;-308.7;
96;8;12;274.4;-343.0;
97;7;16;257.2;-377.3;
98;6;21;240.1;-411.6;
99;5;19;222.9;-445.9;
100;5;18;188.6;-445.9;
101;5;17;154.4;-445.9;
102;5;16;120.1;-445.9;
103;5;15;85.8;-445.9;
104;5;14;51.5;-445.9;
105;5;13;17.1;-445.9;
106;5;12;-17.1;-445.9;
107;5;11;-51.5;-445.9;
108;5;10;-85.8;-445.9;
109;5;9;-120.1;-445.9;
110;5;8;-154.4;-445.9;
111;5;7;-188.6;-445.9;
112;5;6;-222.9;-445.9;
113;6;7;-240.1;-411.6;
114;7;7;-257.2;-377.3;
115;8;7;-274.4;-343.0;
116;9;7;-291.5;-308.7;
117;10;7;-308.7;-274.4;
118;11;7;-325.9;-240.1;
119;12;7;-343.0;-205.8;
120;13;7;-360.1;-171.5;
121;14;7;-377.3;-137.2;
122;15;6;-394.5;-102.9;
123;16;6;-411.6;-68.6;
124;17;6;-428.8;-34.3;
125;18;5;-445.9;0.0;
126;19;6;-428.8;34.3;
127;20;6;-411.6;68.6;
128;21;6;-394.5;102.9;
129;22;7;-377.3;137.2;
130;23;7;-360.1;171.5;
131;24;7;-343.0;205.8;
132;25;7;-325.9;240.1;
133;26;7;-308.7;274.4;
134;27;7;-291.5;308.7;
135;28;7;-274.4;343.0;
136;29;7;-257.2;377.3;
137;30;7;-240.1;411.6;
138;32;5;-240.1;480.2;
139;32;6;-205.8;480.2;
140;32;7;-171.5;480.2;
141;32;8;-137.2;480.2;
142;32;9;-102.9;480.2;
143;32;10;-68.6;480.2;
144;32;11;-34.3;480.2;
145;32;12;0.0;480.2;
146;32;13;34.3;480.2;
147;32;14;68.6;480.2;
148;32;15;102.9;480.2;
149;32;16;137.2;480.2;
150;32;17;171.5;480.2;
151;32;18;205.8;480.2;
152;32;19;240.1;480.2;
153;31;20;257.2;445.9;
154;30;22;274.4;411.6;
155;29;17;291.5;377.3;
156;28;13;308.7;343.0;
157;27;11;325.9;308.7;
158;26;9;343.0;274.4;
159;25;9;360.1;240.1;
160;24;9;377.3;205.8;
161;23;9;394.5;171.5;
162;22;9;411.6;137.2;
163;21;8;428.8;102.9;
164;20;8;445.9;68.6;
165;19;10;463.0;34.3;
166;18;9;480.2;0.0;
167;17;10;463.0;-34.3;
168;16;8;445.9;-68.6;
169;15;8;428.8;-102.9;
170;14;9;411.6;-137.2;
171;13;9;394.5;-171.5;
172;12;9;377.3;-205.8;
173;11;9;360.1;-240.1;
174;10;9;343.0;-274.4;
175;9;11;325.9;-308.7;
176;8;13;308.7;-343.0;
177;7;17;291.5;-377.3;
178;6;22;274.4;-411.6;
179;5;20;257.2;-445.9;
180;4;19;240.1;-480.2;
181;4;18;205.8;-480.2;
182;4;17;171.5;-480.2;
183;4;16;137.2;-480.2;
184;4;15;102.9;-480.2;
185;4;14;68.6;-480.2;
186;4;13;34.3;-480.2;
187;4;12;0.0;-480.2;
188;4;11;-34.3;-480.2;
189;4;10;-68.6;-480.2;
190;4;9;-102.9;-480.2;
191;4;8;-137.2;-480.2;
192;4;7;-171.5;-480.2;
193;4;6;-205.8;-480.2;
194;4;5;-240.1;-480.2;
195;5;5;-257.2;-445.9;
196;6;6;-274.4;-411.6;
197;7;6;-291.5;-377.3;
198;8;6;-308.7;-343.0;
199;9;6;-325.9;-308.7;
200;10;6;-343.0;-274.4;
201;11;6;-360.1;-240.1;
202;12;6;-377.3;-205.8;
203;13;6;-394.5;-171.5;
204;14;6;-411.6;-137.2;
205;15;5;-428.8;-102.9;
206;16;5;-445.9;-68.6;
207;17;5;-463.0;-34.3;
208;18;4;-480.2;0.0;
209;19;5;-463.0;34.3;
210;20;5;-445.9;68.6;
211;21;5;-428.8;102.9;
212;22;6;-411.6;137.2;
213;23;6;-394.5;171.5;
214;24;6;-377.3;205.8;
215;25;6;-360.1;240.1;
216;26;6;-343.0;274.4;
217;27;6;-325.9;308.7;
218;28;6;-308.7;343.0;
219;29;6;-291.5;377.3;
220;30;6;-274.4;411.6;
221;31;5;-257.2;445.9;
222;33;3;-257.2;514.5;
223;33;4;-222.9;514.5;
224;33;5;-188.6;514.5;
225;33;6;-154.4;514.5;
226;33;7;-120.1;514.5;
227;33;8;-85.8;514.5;
228;33;9;-51.5;514.5;
229;33;10;-17.1;514.5;
230;33;11;17.1;514.5;
231;33;12;51.5;514.5;
232;33;13;85.8;514.5;
233;33;14;120.1;514.5;
234;33;15;154.4;514.5;
235;33;16;188.6;514.5;
236;33;17;222.9;514.5;
237;33;18;257.2;514.5;
238;32;20;274.4;480.2;
239;31;21;291.5;445.9;
240;30;23;308.7;411.6;
241;29;18;325.9;377.3;
242;28;14;343.0;343.0;
243;27;12;360.1;308.7;
244;26;10;377.3;274.4;
245;25;10;394.5;240.1;
246;24;10;411.6;205.8;
247;23;10;428.8;171.5;
248;22;10;445.9;137.2;
249;21;9;463.0;102.9;
250;20;9;480.2;68.6;
251;19;11;497.4;34.3;
252;18;10;514.5;0.0;
253;17;11;497.4;-34.3;
254;16;9;480.2;-68.6;
255;15;9;463.0;-102.9;
256;14;10;445.9;-137.2;
257;13;10;428.8;-171.5;
258;12;10;411.6;-205.8;
259;11;10;394.5;-240.1;
260;10;10;377.3;-274.4;
261;9;12;360.1;-308.7;
262;8;14;343.0;-343.0;
263;7;18;325.9;-377.3;
264;6;23;308.7;-411.6;
265;5;21;291.5;-445.9;
266;4;20;274.4;-480.2;
267;3;18;257.2;-514.5;
268;3;17;222.9;-514.5;
269;3;16;188.6;-514.5;
270;3;15;154.4;-514.5;
271;3;14;120.1;-514.5;
272;3;13;85.8;-514.5;
273;3;12;51.5;-514.5;
274;3;11;17.1;-514.5;
275;3;10;-17.1;-514.5;
276;3;9;-51.5;-514.5;
277;3;8;-85.8;-514.5;
278;3;7;-120.1;-514.5;
279;3;6;-154.4;-514.5;
280;3;5;-188.6;-514.5;
281;3;4;-222.9;-514.5;
282;3;3;-257.2;-514.5;
283;4;4;-274.4;-480.2;
284;5;4;-291.5;-445.9;
285;6;5;-308.7;-411.6;
286;7;5;-325.9;-377.3;
287;8;5;-343.0;-343.0;
288;9;5;-360.1;-308.7;
289;10;5;-377.3;-274.4;
290;11;5;-394.5;-240.1;
291;12;5;-411.6;-205.8;
292;13;5;-428.8;-171.5;
293;14;5;-445.9;-137.2;
294;15;4;-463.0;-102.9;
295;16;4;-480.2;-68.6;
296;17;4;-497.4;-34.3;
297;18;3;-514.5;0.0;
298;19;4;-497.4;34.3;
299;20;4;-480.2;68.6;
300;21;4;-463.0;102.9;
301;22;5;-445.9;137.2;
302;23;5;-428.8;171.5;
303;24;5;-411.6;205.8;
304;25;5;-394.5;240.1;
305;26;5;-377.3;274.4;
306;27;5;-360.1;308.7;
307;28;5;-343.0;343.0;
308;29;5;-325.9;377.3;
309;30;5;-308.7;411.6;
310;31;4;-291.5;445.9;
311;32;4;-274.4;480.2;
312;34;1;-274.4;548.8;
313;34;2;-240.1;548.8;
314;34;3;-205.8;548.8;
315;34;4;-171.5;548.8;
316;34;5;-137.2;548.8;
317;34;6;-102.9;548.8;
318;34;7;-68.6;548.8;
319;34;8;-34.3;548.8;
320;34;9;0.0;548.8;
321;34;10;34.3;548.8;
322;34;11;68.6;548.8;
323;34;12;102.9;548.8;
324;34;13;137.2;548.8;
325;34;14;171.5;548.8;
326;34;15;205.8;548.8;
327;34;16;240.1;548.8;
328;34;17;274.4;548.8;
329;33;19;291.5;514.5;
330;32;21;308.7;480.2;
331;31;22;325.9;445.9;
332;30;24;343.0;411.6;
333;29;19;360.1;377.3;
334;28;15;377.3;343.0;
335;27;13;394.5;308.7;
336;26;11;411.6;274.4;
337;25;11;428.8;240.1;
338;24;11;445.9;205.8;
339;23;11;463.0;171.5;
340;22;11;480.2;137.2;
341;21;10;497.4;102.9;
342;20;10;514.5;68.6;
343;19;12;531.7;34.3;
344;18;11;548.8;0.0;
345;17;12;531.7;-34.3;
346;16;10;514.5;-68.6;
347;15;10;497.4;-102.9;
348;14;11;480.2;-137.2;
349;13;11;463.0;-171.5;
350;12;11;445.9;-205.8;
351;11;11;428.8;-240.1;
352;10;11;411.6;-274.4;
353;9;13;394.5;-308.7;
354;8;15;377.3;-343.0;
355;7;19;360.1;-377.3;
356;6;24;343.0;-411.6;
357;5;22;325.9;-445.9;
358;4;21;308.7;-480.2;
359;3;19;291.5;-514.5;
360;2;17;274.4;-548.8;
361;2;16;240.1;-548.8;
362;2;15;205.8;-548.8;
363;2;14;171.5;-548.8;
364;2;13;137.2;-548.8;
365;2;12;102.9;-548.8;
366;2;11;68.6;-548.8;
367;2;10;34.3;-548.8;
368;2;9;0.0;-548.8;
369;2;8;-34.3;-548.8;
370;2;7;-68.6;-548.8;
371;2;6;-102.9;-548.8;
372;2;5;-137.2;-548.8;
373;2;4;-171.5;-548.8;
374;2;3;-205.8;-548.8;
375;2;2;-240.1;-548.8;
376;2;1;-274.4;-548.8;
377;3;2;-291.5;-514.5;
378;4;3;-308.7;-480.2;
379;5;3;-325.9;-445.9;
380;6;4;-343.0;-411.6;
381;7;4;-360.1;-377.3;
382;8;4;-377.3;-343.0;
383;9;4;-394.5;-308.7;
384;10;4;-411.6;-274.4;
385;11;4;-428.8;-240.1;
386;12;4;-445.9;-205.8;
387;13;4;-463.0;-171.5;
388;14;4;-480.2;-137.2;
389;15;3;-497.4;-102.9;
390;16;3;-514.5;-68.6;
391;17;3;-531.7;-34.3;
392;18;2;-548.8;0.0;
393;19;3;-531.7;34.3;
394;20;3;-514.5;68.6;
395;21;3;-497.4;102.9;
396;22;4;-480.2;137.2;
397;23;4;-463.0;171.5;
398;24;4;-445.9;205.8;
399;25;4;-428.8;240.1;
400;26;4;-411.6;274.4;
401;27;4;-394.5;308.7;
402;28;4;-377.3;343.0;
403;29;4;-360.1;377.3;
404;30;4;-343.0;411.6;
405;31;3;-325.9;445.9;
406;32;3;-308.7;480.2;
407;33;2;-291.5;514.5;
408;35;0;-222.9;583.1;
409;35;1;-188.6;583.1;
410;35;2;-154.4;583.1;
411;35;3;-120.1;583.1;
412;35;4;-85.8;583.1;
413;35;5;-51.5;583.1;
414;35;6;-17.1;583.1;
415;35;7;17.1;583.1;
416;35;8;51.5;583.1;
417;35;9;85.8;583.1;
418;35;10;120.1;583.1;
419;35;11;154.4;583.1;
420;35;12;188.6;583.1;
421;35;13;222.9;583.1;
422;34;18;308.7;548.8;
423;33;20;325.9;514.5;
424;32;22;343.0;480.2;
425;31;23;360.1;445.9;
426;30;25;377.3;411.6;
427;29;20;394.5;377.3;
428;28;16;411.6;343.0;
429;27;14;428.8;308.7;
430;26;12;445.9;274.4;
431;25;12;463.0;240.1;
432;24;12;480.2;205.8;
433;23;12;497.4;171.5;
434;22;12;514.5;137.2;
435;21;11;531.7;102.9;
436;20;11;548.8;68.6;
437;19;13;566.0;34.3;
438;18;12;583.1;0.0;
439;17;13;566.0;-34.3;
440;16;11;548.8;-68.6;
441;15;11;531.7;-102.9;
442;14;12;514.5;-137.2;
443;13;12;497.4;-171.5;
444;12;12;480.2;-205.8;
445;11;12;463.0;-240.1;
446;10;12;445.9;-274.4;
447;9;14;428.8;-308.7;
448;8;16;411.6;-343.0;
449;7;20;394.5;-377.3;
450;6;25;377.3;-411.6;
451;5;23;360.1;-445.9;
452;4;22;343.0;-480.2;
453;3;20;325.9;-514.5;
454;2;18;308.7;-548.8;
455;1;13;222.9;-583.1;
456;1;12;188.6;-583.1;
457;1;11;154.4;-583.1;
458;1;10;120.1;-583.1;
459;1;9;85.8;-583.1;
460;1;8;51.5;-583.1;
461;1;7;17.1;-583.1;
462;1;6;-17.1;-583.1;
463;1;5;-51.5;-583.1;
464;1;4;-85.8;-583.1;
465;1;3;-120.1;-583.1;
466;1;2;-154.4;-583.1;
467;1;1;-188.6;-583.1;
468;1;0;-222.9;-583.1;
469;2;0;-308.7;-548.8;
470;3;1;-325.9;-514.5;
471;4;2;-343.0;-480.2;
472;5;2;-360.1;-445.9;
473;6;3;-377.3;-411.6;
474;7;3;-394.5;-377.3;
475;8;3;-411.6;-343.0;
476;9;3;-428.8;-308.7;
477;10;3;-445.9;-274.4;
478;11;3;-463.0;-240.1;
479;12;3;-480.2;-205.8;
480;13;3;-497.4;-171.5;
481;14;3;-514.5;-137.2;
482;15;2;-531.7;-102.9;
483;16;2;-548.8;-68.6;
484;17;2;-566.0;-34.3;
485;18;1;-583.1;0.0;
486;19;2;-566.0;34.3;
487;20;2;-548.8;68.6;
488;21;2;-531.7;102.9;
489;22;3;-514.5;137.2;
490;23;3;-497.4;171.5;
491;24;3;-480.2;205.8;
492;25;3;-463.0;240.1;
493;26;3;-445.9;274.4;
494;27;3;-428.8;308.7;
495;28;3;-411.6;343.0;
496;29;3;-394.5;377.3;
497;30;3;-377.3;411.6;
498;31;2;-360.1;445.9;
499;32;2;-343.0;480.2;
500;33;1;-325.9;514.5;
501;34;0;-308.7;548.8;
502;36;0;-137.2;617.4;
503;36;1;-102.9;617.4;
504;36;2;-68.6;617.4;
505;36;3;-34.3;617.4;
506;36;4;0.0;617.4;
507;36;5;34.3;617.4;
508;36;6;68.6;617.4;
509;36;7;102.9;617.4;
510;36;8;137.2;617.4;
511;33;21;360.1;514.5;
512;32;23;377.3;480.2;
513;31;24;394.5;445.9;
514;30;26;411.6;411.6;
515;29;21;428.8;377.3;
516;28;17;445.9;343.0;
517;27;15;463.0;308.7;
518;26;13;480.2;274.4;
519;25;13;497.4;240.1;
520;24;13;514.5;205.8;
521;23;13;531.7;171.5;
522;22;13;548.8;137.2;
523;21;12;566.0;102.9;
524;20;12;583.1;68.6;
525;19;14;600.2;34.3;
526;18;13;617.4;0.0;
527;17;14;600.2;-34.3;
528;16;12;583.1;-68.6;
529;15;12;566.0;-102.9;
530;14;13;548.8;-137.2;
531;13;13;531.7;-171.5;
532;12;13;514.5;-205.8;
533;11;13;497.4;-240.1;
534;10;13;480.2;-274.4;
535;9;15;463.0;-308.7;
536;8;17;445.9;-343.0;
537;7;21;428.8;-377.3;
538;6;26;411.6;-411.6;
539;5;24;394.5;-445.9;
540;4;23;377.3;-480.2;
541;3;21;360.1;-514.5;
542;0;8;137.2;-617.4;
543;0;7;102.9;-617.4;
544;0;6;68.6;-617.4;
545;0;5;34.3;-617.4;
546;0;4;0.0;-617.4;
547;0;3;-34.3;-617.4;
548;0;2;-68.6;-617.4;
549;0;1;-102.9;-617.4;
550;0;0;-137.2;-617.4;
551;3;0;-360.1;-514.5;
552;4;1;-377.3;-480.2;
553;5;1;-394.5;-445.9;
554;6;2;-411.6;-411.6;
555;7;2;-428.8;-377.3;
556;8;2;-445.9;-343.0;
557;9;2;-463.0;-308.7;
558;10;2;-480.2;-274.4;
559;11;2;-497.4;-240.1;
560;12;2;-514.5;-205.8;
561;13;2;-531.7;-171.5;
562;14;2;-548.8;-137.2;
563;15;1;-566.0;-102.9;
564;16;1;-583.1;-68.6;
565;17;1;-600.2;-34.3;
566;18;0;-617.4;0.0;
567;19;1;-600.2;34.3;
568;20;1;-583.1;68.6;
569;21;1;-566.0;102.9;
570;22;2;-548.8;137.2;
571;23;2;-531.7;171.5;
572;24;2;-514.5;205.8;
573;25;2;-497.4;240.1;
574;26;2;-480.2;274.4;
575;27;2;-463.0;308.7;
576;28;2;-445.9;343.0;
577;29;2;-428.8;377.3;
578;30;2;-411.6;411.6;
579;31;1;-394.5;445.9;
580;32;1;-377.3;480.2;
581;33;0;-360.1;514.5;
582;32;24;411.6;480.2;
583;31;25;428.8;445.9;
584;30;27;445.9;411.6;
585;29;22;463.0;377.3;
586;28;18;480.2;343.0;
587;27;16;497.4;308.7;
588;26;14;514.5;274.4;
589;25;14;531.7;240.1;
590;24;14;548.8;205.8;
591;23;14;566.0;171.5;
592;22;14;583.1;137.2;
593;21;13;600.2;102.9;
594;20;13;617.4;68.6;
595;19;15;634.5;34.3;
596;17;15;634.5;-34.3;
597;16;13;617.4;-68.6;
598;15;13;600.2;-102.9;
599;14;14;583.1;-137.2;
600;13;14;566.0;-171.5;
601;12;14;548.8;-205.8;
602;11;14;531.7;-240.1;
603;10;14;514.5;-274.4;
604;9;16;497.4;-308.7;
605;8;18;480.2;-343.0;
606;7;22;463.0;-377.3;
607;6;27;445.9;-411.6;
608;5;25;428.8;-445.9;
609;4;24;411.6;-480.2;
610;4;0;-411.6;-480.2;
611;5;0;-428.8;-445.9;
612;6;1;-445.9;-411.6;
613;7;1;-463.0;-377.3;
614;8;1;-480.2;-343.0;
615;9;1;-497.4;-308.7;
616;10;1;-514.5;-274.4;
617;11;1;-531.7;-240.1;
